"REGION NAME","DISTRICT NAME","NAME OF CANDIDATE","PARTY","PARTY COLOR","VOTES SCORED","","","","","","","","","","","","","","","","","","","","","MZIMBA","MZIMBA","MZIMBA","NKHATA BAY","NKHATA BAY","NKHATA BAY","NKHATA BAY","NKHATA BAY","NKHATA BAY","MZIMBA","MZIMBA","MZIMBA","LIKOMA","NKHOTAKOTA","NKHOTAKOTA","NKHOTAKOTA","NKHOTAKOTA","NKHOTAKOTA","KASUNGU","KASUNGU","KASUNGU","KASUNGU","KASUNGU","KASUNGU","KASUNGU","KASUNGU","KASUNGU","KASUNGU","KASUNGU","NTCHISI","NTCHISI","NTCHISI","NTCHISI","NTCHISI","DOWA","DOWA","DOWA","DOWA","DOWA","DOWA","DOWA","DOWA","DOWA","DOWA","MCHINJI","MCHINJI","MCHINJI","MCHINJI","MCHINJI","MCHINJI","MCHINJI","SALIMA","SALIMA","SALIMA","SALIMA","SALIMA","SALIMA","LILONGWE","LILONGWE","LILONGWE","LILONGWE","LILONGWE","LILONGWE","LILONGWE","LILONGWE","LILONGWE","LILONGWE","LILONGWE","LILONGWE","LILONGWE","LILONGWE","LILONGWE","LILONGWE","LILONGWE","LILONGWE","LILONGWE","LILONGWE","LILONGWE","LILONGWE","LILONGWE","LILONGWE","LILONGWE","LILONGWE","LILONGWE","LILONGWE","LILONGWE","LILONGWE","DEDZA","DEDZA","DEDZA","DEDZA","DEDZA","DEDZA","DEDZA","DEDZA","DEDZA","DEDZA","NTCHEU","NTCHEU","NTCHEU","NTCHEU","NTCHEU","NTCHEU","NTCHEU","NTCHEU","MANGOCHI","MANGOCHI","MANGOCHI","MANGOCHI","MANGOCHI","MANGOCHI","MANGOCHI","MANGOCHI","MANGOCHI","MANGOCHI","MANGOCHI","MANGOCHI","MANGOCHI","MACHINGA","MACHINGA","MACHINGA","MACHINGA","MACHINGA","MACHINGA","MACHINGA","MACHINGA","BALAKA","BALAKA","BALAKA","BALAKA","BALAKA","ZOMBA","ZOMBA","ZOMBA","ZOMBA","ZOMBA","ZOMBA","ZOMBA","ZOMBA","ZOMBA","NENO","NENO","NENO","BLANTYRE","BLANTYRE","BLANTYRE","BLANTYRE","BLANTYRE","BLANTYRE","ZOMBA","ZOMBA","MWANZA","MWANZA","PHALOMBE","PHALOMBE","PHALOMBE","PHALOMBE","PHALOMBE","CHIRADZULU","CHIRADZULU","CHIRADZULU","CHIRADZULU","CHIRADZULU","MULANJE","MULANJE","MULANJE","MULANJE","MULANJE","MULANJE","MULANJE","MULANJE","MULANJE","BLANTYRE","BLANTYRE","BLANTYRE","BLANTYRE","BLANTYRE","BLANTYRE","BLANTYRE","BLANTYRE","BLANTYRE","BLANTYRE","CHIKWAWA","CHIKWAWA","CHIKWAWA","CHIKWAWA","CHIKWAWA","CHIKWAWA","CHIKWAWA","THYOLO","THYOLO","THYOLO","THYOLO","THYOLO","THYOLO","THYOLO","THYOLO","LUCHENZA","NSANJE","NSANJE","NSANJE","NSANJE","NSANJE"
"NORTHERN REGION","CHITIPA","Lazarus Chakwera","MCP","#00A200","13936","","","","","","","","","","","","","","","","","","","","","MZIMBA DISTRICT","MZIMBA DISTRICT","MZIMBA DISTRICT","NKHATA BAY DISTRICT","NKHATA BAY DISTRICT","NKHATA BAY DISTRICT","NKHATA BAY DISTRICT","NKHATA BAY DISTRICT","NKHATA BAY DISTRICT","MZUZU CITY","MZUZU CITY","MZUZU CITY","LIKOMA DISTRICT","NKHOTAKOTA DISTRICT","NKHOTAKOTA DISTRICT","NKHOTAKOTA DISTRICT","NKHOTAKOTA DISTRICT","NKHOTAKOTA DISTRICT","KASUNGU DISTRICT","KASUNGU DISTRICT","KASUNGU DISTRICT","KASUNGU DISTRICT","KASUNGU DISTRICT","KASUNGU DISTRICT","KASUNGU DISTRICT","KASUNGU DISTRICT","KASUNGU DISTRICT","KASUNGU DISTRICT","KASUNGU MUNICIPALITY","NTCHISI DISTRICT","NTCHISI DISTRICT","NTCHISI DISTRICT","NTCHISI DISTRICT","NTCHISI DISTRICT","DOWA DISTRICT","DOWA DISTRICT","DOWA DISTRICT","DOWA DISTRICT","DOWA DISTRICT","DOWA DISTRICT","DOWA DISTRICT","DOWA DISTRICT","DOWA DISTRICT","DOWA DISTRICT","MCHINJI DISTRICT","MCHINJI DISTRICT","MCHINJI DISTRICT","MCHINJI DISTRICT","MCHINJI DISTRICT","MCHINJI DISTRICT","MCHINJI DISTRICT","SALIMA DISTRICT","SALIMA DISTRICT","SALIMA DISTRICT","SALIMA DISTRICT","SALIMA DISTRICT","SALIMA DISTRICT","LILONGWE DISTRICT","LILONGWE DISTRICT","LILONGWE DISTRICT","LILONGWE DISTRICT","LILONGWE DISTRICT","LILONGWE DISTRICT","LILONGWE DISTRICT","LILONGWE DISTRICT","LILONGWE DISTRICT","LILONGWE DISTRICT","LILONGWE DISTRICT","LILONGWE DISTRICT","LILONGWE DISTRICT","LILONGWE DISTRICT","LILONGWE DISTRICT","LILONGWE DISTRICT","LILONGWE DISTRICT","LILONGWE DISTRICT","LILONGWE CITY","LILONGWE CITY","LILONGWE CITY","LILONGWE CITY","LILONGWE CITY","LILONGWE CITY","LILONGWE CITY","LILONGWE CITY","LILONGWE CITY","LILONGWE CITY","LILONGWE CITY","LILONGWE CITY","DEDZA DISTRICT","DEDZA DISTRICT","DEDZA DISTRICT","DEDZA DISTRICT","DEDZA DISTRICT","DEDZA DISTRICT","DEDZA DISTRICT","DEDZA DISTRICT","DEDZA DISTRICT","DEDZA DISTRICT","NTCHEU DISTRICT","NTCHEU DISTRICT","NTCHEU DISTRICT","NTCHEU DISTRICT","NTCHEU DISTRICT","NTCHEU DISTRICT","NTCHEU DISTRICT","NTCHEU DISTRICT","MANGOCHI DISTRICT","MANGOCHI DISTRICT","MANGOCHI DISTRICT","MANGOCHI DISTRICT","MANGOCHI DISTRICT","MANGOCHI DISTRICT","MANGOCHI DISTRICT","MANGOCHI DISTRICT","MANGOCHI DISTRICT","MANGOCHI DISTRICT","MANGOCHI DISTRICT","MANGOCHI DISTRICT","MANGOCHI MUNICIPALITY","MACHINGA DISTRICT","MACHINGA DISTRICT","MACHINGA DISTRICT","MACHINGA DISTRICT","MACHINGA DISTRICT","MACHINGA DISTRICT","MACHINGA DISTRICT","MACHINGA DISTRICT","BALAKA DISTRICT","BALAKA DISTRICT","BALAKA DISTRICT","BALAKA DISTRICT","BALAKA DISTRICT","ZOMBA DISTRICT","ZOMBA DISTRICT","ZOMBA DISTRICT","ZOMBA DISTRICT","ZOMBA DISTRICT","ZOMBA DISTRICT","ZOMBA DISTRICT","ZOMBA DISTRICT","ZOMBA DISTRICT","NENO DISTRICT","NENO DISTRICT","NENO DISTRICT","BLANTYRE DISTRICT","BLANTYRE DISTRICT","BLANTYRE DISTRICT","BLANTYRE DISTRICT","BLANTYRE DISTRICT","BLANTYRE DISTRICT","ZOMBA DISTRICT","ZOMBA DISTRICT","MWANZA DISTRICT","MWANZA DISTRICT","PHALOMBE DISTRICT","PHALOMBE DISTRICT","PHALOMBE DISTRICT","PHALOMBE DISTRICT","PHALOMBE DISTRICT","CHIRADZULU DISTRICT","CHIRADZULU DISTRICT","CHIRADZULU DISTRICT","CHIRADZULU DISTRICT","CHIRADZULU DISTRICT","MULANJE DISTRICT","MULANJE DISTRICT","MULANJE DISTRICT","MULANJE DISTRICT","MULANJE DISTRICT","MULANJE DISTRICT","MULANJE DISTRICT","MULANJE DISTRICT","MULANJE DISTRICT","BLANTYRE CITY","BLANTYRE CITY","BLANTYRE CITY","BLANTYRE CITY","BLANTYRE CITY","BLANTYRE CITY","BLANTYRE CITY","BLANTYRE CITY","BLANTYRE CITY","BLANTYRE CITY","CHIKWAWA DISTRICT","CHIKWAWA DISTRICT","CHIKWAWA DISTRICT","CHIKWAWA DISTRICT","CHIKWAWA DISTRICT","CHIKWAWA DISTRICT","CHIKWAWA DISTRICT","THYOLO DISTRICT","THYOLO DISTRICT","THYOLO DISTRICT","THYOLO DISTRICT","THYOLO DISTRICT","THYOLO DISTRICT","THYOLO DISTRICT","THYOLO DISTRICT","LUCHENZA MUNCIPALITY","NSANJE DISTRICT","NSANJE DISTRICT","NSANJE DISTRICT","NSANJE DISTRICT","NSANJE DISTRICT"
"NORTHERN REGION","CHITIPA","Peter Mutharika","DPP","#00B0F0","35827","","","","","","","","","","","","","","","","","","","","","MZIMBA SOUTH CONSTITUENCY","MZIMBA SOUTH EAST CONSTITUENCY","MZIMBA LUWEREZI CONSTITUENCY","NKHATA BAY NORTH CONSTITUENCY","NKHATA BAY MPAMBA CONSTITUENCY","NKHATA BAY CENTRAL CONSTITUENCY","NKHATA BAY WEST CONSTITUENCY","NKHATA BAY CHINTHECHE CONSTITUENCY","NKHATA BAY SOUTH CONSTITUENCY","MZUZU CITY NORTH CONSTITUENCY","MZUZU CITY SOUTH WEST CONSTITUENCY","MZUZU CITY SOUTH EAST CONSTITUENCY","LIKOMA ISLANDS CONSTITUENCY","NKHOTAKOTA DWANGWA CONSTITUENCY","NKHOTAKOTA LIWALADZI CONSTITUENCY","NKHOTAKOTA CENTRAL CONSTITUENCY","NKHOTAKOTA CHIA CONSTITUENCY","NKHOTAKOTA MKHULA CONSTITUENCY","KASUNGU NORTH CONSTITUENCY","KASUNGU NORTH WEST CONSTITUENCY","KASUNGU WEST CONSTITUENCY","KASUNGU NORTH NORTH EAST CONSTITUENCY","KASUNGU EAST CONSTITUENCY","KASUNGU NORTH EAST CONSTITUENCY","KASUNGU CENTRAL CONSTITUENCY","KASUNGU SOUTH EAST CONSTITUENCY","KASUNGU SOUTH WEST CONSTITUENCY","KASUNGU SOUTH CONSTITUENCY","KASUNGU MUNICIPALITY CONSTITUENCY","NTCHISI NORTH CONSTITUENCY","NTCHISI WEST CONSTITUENCY","NTCHISI CENTRAL EAST CONSTITUENCY","NTCHISI EAST CONSTITUENCY","NTCHISI SOUTH CONSTITUENCY","DOWA NGALA CONSTITUENCY","DOWA KASANGADZI CONSTITUENCY","DOWA MPHUDZU CONSTITUENCY","DOWA CENTRAL CONSTITUENCY","DOWA MNDOLERA CONSTITUENCY","DOWA NORTH EAST CONSTITUENCY","DOWA WEST CONSTITUENCY","DOWA EAST CONSTITUENCY","DOWA CENTRAL EAST CONSTITUENCY","DOWA SOUTH EAST CONSTITUENCY","MCHINJI NORTH EAST CONSTITUENCY","MCHINJI NORTH CONSTITUENCY","MCHINJI EAST CONSTITUENCY","MCHINJI WEST CONSTITUENCY","MCHINJI CENTRAL EAST CONSTITUENCY","MCHINJI SOUTH WEST CONSTITUENCY","MCHINJI SOUTH CONSTITUENCY","SALIMA NORTH CONSTITUENCY","SALIMA CENTRAL WEST CONSTITUENCY","SALIMA CENTRAL EAST CONSTITUENCY","SALIMA CENTRAL CONSTITUENCY","SALIMA SOUTH LINTHIPE CONSTITUENCY","SALIMA SOUTH CONSTITUENCY","LILONGWE MPHANDE CONSTITUENCY","LILONGWE MUDE CONSTITUENCY","LILONGWE DEMERA CONSTITUENCY","LILONGWE CHIWAMBA CONSTITUENCY","LILONGWE EAST CONSTITUENCY","LILONGWE MAPUYU NORTH CONSTITUENCY","LILONGWE MACHENGA CONSTITUENCY","LILONGWE NKHOMA CONSTITUENCY","LILONGWE LIKUNI CONSTITUENCY","LILONGWE CENTRAL CONSTITUENCY","LILONGWE MPENU CONSTITUENCY","LILONGWE MAPUYU SOUTH CONSTITUENCY","LILONGWE NYANJA CONSTITUENCY","LILONGWE MSOZI CONSTITUENCY","LILONGWE BUNDA CONSTITUENCY","LILONGWE PHIRILANJUZI CONSTITUENCY","LILONGWE MSINJA SOUTH CONSTITUENCY","LILONGWE MSINJA NORTH CONSTITUENCY","LILONGWE CITY LUMBADZI CONSTITUENCY","LILONGWE CITY DZENZA CONSTITUENCY","LILONGWE CITY CENTRE CONSTITUENCY","LILONGWE CITY CHIPALA-NAFISI CONSTITUENCY","LILONGWE CITY NANKHAKA CONSTITUENCY","LILONGWE CITY MTANDIRE-MTSIRIZA CONSTITUENCY","LILONGWE CITY BWAILA CONSTITUENCY","LILONGWE CITY MASINTHA CONSTITUENCY","LILONGWE CITY M'BUKA CONSTITUENCY","LILONGWE CITY MLODZA CONSTITUENCY","LILONGWE CITY KAMPHUNO CONSTITUENCY","LILONGWE CITY NGWENYA CONSTITUENCY","DEDZA MAYANI CONSTITUENCY","DEDZA MLUNDUNI CONSTITUENCY","DEDZA KASINA CONSTITUENCY","DEDZA MTAKATAKA CONSTITUENCY","DEDZA LINTHIPE CONSTITUENCY","DEDZA BOMA CONSTITUENCY","DEDZA GOLOMOTI CONSTITUENCY","DEDZA CHIKOMA CONSTITUENCY","DEDZA MPHUNZI CONSTITUENCY","DEDZA DZALANYAMA CONSTITUENCY","NTCHEU NORTH CONSTITUENCY","NTCHEU BWANJE CONSTITUENCY","NTCHEU NORTH WEST CONSTITUENCY","NTCHEU CENTRAL EAST CONSTITUENCY","NTCHEU CENTRAL CONSTITUENCY","NTCHEU DZONZI MVAI CONSTITUENCY","NTCHEU CENTRAL CENTRAL EAST CONSTITUENCY","NTCHEU SOUTH CONSTITUENCY","MANGOCHI NORTH CONSTITUENCY","MANGOCHI LUTENDE CONSTITUENCY","MANGOCHI EAST CONSTITUENCY","MANGOCHI MONKEY BAY CONSTITUENCY","MANGOCHI WEST CONSTITUENCY","MANGOCHI CENTRAL CONSTITUENCY","MANGOCHI NORTH EAST CONSTITUENCY","MANGOCHI MASONGOLA CONSTITUENCY","MANGOCHI SOUTH WEST CONSTITUENCY","MANGOCHI SOUTH CONSTITUENCY","MANGOCHI MALOMBE CONSTITUENCY","MANGOCHI NKUNGULU CONSTITUENCY","MANGOCHI MUNICIPALITY CONSTITUENCY","MACHINGA NORTH EAST CONSTITUENCY","MACHINGA SOUTH EAST CONSTITUENCY","MACHINGA CENTRAL CONSTITUENCY","MACHINGA EAST CONSTITUENCY","MACHINGA MIKOKO CONSTITUENCY","MACHINGA CENTRAL EAST CONSTITUENCY","MACHINGA LIKWENU CONSTITUENCY","MACHINGA SOUTH CONSTITUENCY","BALAKA ULONGWE CONSTITUENCY","BALAKA BWAILA CONSTITUENCY","BALAKA NGWANGWA CONSTITUENCY","BALAKA RIVIRIVI CONSTITUENCY","BALAKA MULUNGUZI CONSTITUENCY","ZOMBA MALOSA CONSTITUENCY","ZOMBA NSONDOLE CONSTITUENCY","ZOMBA CHINGALE CONSTITUENCY","ZOMBA LIKANGALA CONSTITUENCY","ZOMBA CHANGALUME CONSTITUENCY","ZOMBA NTONYA CONSTITUENCY","ZOMBA MATIYA CONSTITUENCY","ZOMBA THONDWE CONSTITUENCY","ZOMBA CHIKOMWE CONSTITUENCY","NENO NORTH CONSTITUENCY","NENO EAST CONSTITUENCY","NENO SOUTH CONSTITUENCY","BLANTYRE NORTH CONSTITUENCY","BLANTYRE CENTRAL CONSTITUENCY","BLANTYRE WEST CONSTITUENCY","BLANTYRE NORTH EAST CONSTITUENCY","BLANTYRE SOUTH WEST CONSTITUENCY","BLANTYRE SOUTH EAST CONSTITUENCY","ZOMBA CITY NORTH CONSTITUENCY","ZOMBA CITY SOUTH CONSTITUENCY","MWANZA CENTRAL CONSTITUENCY","MWANZA WEST CONSTITUENCY","PHALOMBE NORTH CONSTITUENCY","PHALOMBE NORTH EAST CONSTITUENCY","PHALOMBE MACHEMBA CONSTITUENCY","PHALOMBE SOUTH CONSTITUENCY","PHALOMBE EAST CONSTITUENCY","CHIRADZULU NYUNGWE CONSTITUENCY","CHIRADZULU MASANJALA CONSTITUENCY","CHIRADZULU THUMBWE CONSTITUENCY","CHIRADZULU NGULUDI CONSTITUENCY","CHIRADZULU MIDIMA CONSTITUENCY","MULANJE NORTH CONSTITUENCY","MULANJE WEST CONSTITUENCY","MULANJE PASANI CONSTITUENCY","MULANJE SOUTH WEST CONSTITUENCY","MULANJE LIMBULI CONSTITUENCY","MULANJE SOUTH CONSTITUENCY","MULANJE CENTRAL CONSTITUENCY","MULANJE SOUTH EAST CONSTITUENCY","MULANJE BALE CONSTITUENCY","BLANTYRE CITY SOUTH LUNZU CONSTITUENCY","BLANTYRE CITY MICHIRU-CHIRIMBA CONSTITUENCY","BLANTYRE CITY MAPANGA-MPINGWE-MZEDI CONSTITUENCY","BLANTYRE CITY NDIRANDE MALABADA NYAMBADWE CONSTITUENCY","BLANTYRE CITY CHILOMONI KABULA NANCHOLI CONSTITUENCY","BLANTYRE CITY MBAYANI-MUSSA MAGASA CONSTITUENCY","BLANTYRE CITY NKOLOKOTI-NDIRANDE MATOPE CONSTITUENCY","BLANTYRE CITY CHICHIRI-MISESA CONSTITUENCY","BLANTYRE CITY SOCHE-ZINGWANGWA CONSTITUENCY","BLANTYRE CITY CHIGUMULA BCA-CLUB BANANA CONSTITUENCY","CHIKWAWA WEST CONSTITUENCY","CHIKWAWA NORTH CONSTITUENCY","CHIKWAWA CENTRAL WEST CONSTITUENCY","CHIKWAWA CENTRAL CONSTITUENCY","CHIKWAWA EAST CONSTITUENCY","CHIKWAWA MKOMBEDZI CONSTITUENCY","CHIKWAWA SOUTH CONSTITUENCY","THYOLO MIKOLONGWE CONSTITUENCY","THYOLO GOLIATI CONSTITUENCY","THYOLO BVUMBWE-MASENJERE CONSTITUENCY","THYOLO KHONJENI-MANGUNDA CONSTITUENCY","THYOLO CENTRAL CONSTITUENCY","THYOLO THAVA CONSTITUENCY","THYOLO MASAMBANJATI CONSTITUENCY","THYOLO THEKERANI CONSTITUENCY","LUCHENZA CONSTITUENCY","NSANJE NORTH CONSTITUENCY","NSANJE LALANJE CONSTITUENCY","NSANJE CENTRAL CONSTITUENCY","NSANJE SOUTH WEST CONSTITUENCY","NSANJE SOUTH CONSTITUENCY"
"NORTHERN REGION","CHITIPA","Joyce Banda","PP","#FF6400","4743","","","","","","","","","","","","","","","","","","","","","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193","194","195","196","197","198","199","200","201","202","203","204","205","206","207","208","209","210","211","212","213","214","215","216","217","218","219","220","221","222","223","224","225","226","227","228"
"NORTHERN REGION","CHITIPA","Dalitso Kabambe","UTM","#FF0000","9035","","","","","","","","","","","","","","","","","","","","","","Danford Mponda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NORTHERN REGION","CHITIPA","Atupele Muluzi","UDF","#FFFF00","687","","","","","","","","","","","","","","","","","","","","","","Tue Jul 15 2025 09:00:29 GMT+0200 (South Africa Standard Time)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NORTHERN REGION","CHITIPA","Michael Usi","ODYA ZAKE","#DB2C3B","271","","","","","","","","","","","","","","","","","","","","","","102003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NORTHERN REGION","CHITIPA","Frank Mwenifumbo","NDP","#08DFA3","141","","","","","","","","","","","","","","","","","","","","","","109802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NORTHERN REGION","CHITIPA","Jordan Sauti","PCP","#1B1B31","33","","","","","","","","","","","","","","","","","","","","","","118","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NORTHERN REGION","CHITIPA","Akwame Bandawe","AAA","#000C31","667","","","","","","","","","","","","","","","","","","","","","","41950","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NORTHERN REGION","CHITIPA","Kondwani Nankhumwa","PDP","#0543B2","77","","","","","","","","","","","","","","","","","","","","","","71491","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
